date,dow,setup,side,lots,entry,stop,target,exit,pnl,net,exit_why,fill_hm,exit_hm
2026-03-31,1,T2X,1,1,24107.0,24047.15,24249.4,24047.15,-119.69999999999709,-121.43999999999708,stop,1040,1045
2026-04-01,2,T1-Z1,1,2,24756.0625,24706.0375,24797.75,24831.1,300.1499999999942,297.66999999999416,reversed,1030,1035
2026-04-01,2,T2R,-1,8,24831.1,24847.775,24756.0625,24756.0625,1200.5999999999767,1190.6799999999766,target,1035,1040
2026-04-01,2,T2X,1,2,24764.4,24697.7,24847.775,24847.775,333.5,331.02,target,1045,1050
2026-04-08,2,T2R,1,7,25588.15,25567.225,25682.3125,25567.225,-292.95000000004075,-305.13000000004075,stop,1045,1055
2026-04-08,2,T2X,-1,7,25734.625,25755.55,25577.6875,25577.6875,2197.125,2188.445,target,1250,1455
2026-04-09,3,T1-Z1,-1,4,25581.05,25618.3,25551.25,25618.3,-298.0,-304.96,stop,1040,1050
2026-04-10,4,T1-Z3a,1,3,25928.75,25882.0625,25959.5,25959.5,184.5,179.28,target,1025,1030
2026-04-10,4,T2X,1,14,25907.875,25897.55,25980.15,25897.55,-289.1000000000204,-313.4600000000204,stop,1040,1040
2026-04-13,0,T1-Z1,1,2,25877.25,25825.35,25920.5,25920.5,173.0,170.52,target,1030,1050
2026-04-13,0,T2X,1,4,25897.75,25868.6,25955.1,25955.1,458.79999999998836,453.8399999999884,target,1105,1225
2026-04-14,1,T1-Z1,1,3,26356.3125,26311.0875,26394.0,26394.0,226.125,222.405,target,1105,1115
2026-04-14,1,T2X,1,2,26363.85,26303.55,26454.3,26454.3,361.8000000000029,359.3200000000029,target,1105,1140
2026-04-15,2,T2R,-1,9,26752.95,26768.175,26684.4375,26768.175,-274.0499999999738,-289.70999999997383,stop,1050,1110
2026-04-15,2,T2X,1,2,26692.05,26631.15,26768.175,26768.175,304.5,302.02,target,1255,1305
2026-04-16,3,T2R,-1,4,27094.325,27129.875,26952.125,27129.875,-284.3999999999942,-291.35999999999416,stop,1135,1200
2026-04-17,4,T2R,-1,10,27392.5,27407.125,27326.6875,27407.125,-292.5,-309.9,stop,1035,1040
2026-04-20,0,T1-Z1,-1,5,27325.5,27353.0,27303.5,27303.5,220.0,213.8,target,1030,1035
2026-04-21,1,T2X,-1,3,27361.375,27409.0,27274.0625,27274.0625,523.875,520.155,target,1115,1240
2026-04-22,2,T1-Z1,1,2,27533.25,27478.05,27579.25,27579.25,184.0,181.52,target,1035,1040
2026-04-22,2,T2X,1,2,27542.45,27468.85,27634.45,27634.45,368.0,365.52,target,1050,1320
2026-04-23,3,T1-Z3a,-1,2,27603.5,27655.375,27551.5,27655.375,-207.5,-211.98,stop,1025,1050
2026-04-23,3,T2R,-1,5,27731.55,27759.25,27620.75,27620.75,1107.9999999999927,1101.7999999999927,target,1120,1300
2026-04-24,4,T2R,-1,10,27882.5,27896.25,27820.625,27896.25,-275.0,-292.4,stop,1055,1110
2026-04-28,1,T2R,1,8,27620.45,27602.3,27702.125,27602.3,-290.4000000000233,-304.3200000000233,stop,1050,1050
2026-04-29,2,T1-Z1,1,3,27826.3125,27780.4875,27864.5,27864.5,229.125,225.405,target,1110,1125
2026-04-29,2,T2R,-1,9,27895.05,27910.325,27826.3125,27826.3125,1237.274999999987,1226.1149999999868,reversed,1035,1110
2026-04-29,2,T2X,1,2,27833.95,27772.85,27910.325,27772.85,-244.40000000000873,-247.88000000000872,stop,1110,1230
2026-04-30,3,T1-Z1,-1,1,27816.05,27897.9875,27750.5,27897.9875,-163.875,-165.615,stop,1030,1050
2026-05-01,4,T1-Z1,1,1,28422.4375,28334.4625,28495.75,28495.75,146.625,145.385,target,1030,1145
2026-05-05,1,T1-Z1,1,3,28681.375,28632.025,28722.5,28722.5,246.75,243.03,target,1035,1115
2026-05-05,1,T2X,1,2,28675.0,28623.8,28788.3,28722.5,190.0,187.52,eod,1045,1555
2026-05-06,2,T1-Z3a,-1,3,29005.5,29051.125,28924.0,29051.125,-273.75,-280.47,stop,1025,1030
2026-05-06,2,T2R,-1,8,29127.4,29144.35,29051.125,29144.35,-271.19999999995343,-285.11999999995345,stop,1045,1105
2026-05-07,3,T1-Z1,1,2,29437.625,29380.775,29485.0,29380.775,-227.39999999999418,-230.87999999999417,stop,1105,1155
2026-05-08,4,T1-Z1,1,1,29678.0625,29587.2375,29753.75,29753.75,151.375,150.135,target,1030,1055
2026-05-11,0,T1-Z1,-1,3,29898.35,29937.85,29866.75,29937.85,-237.0,-242.22,stop,1030,1035
2026-05-12,1,T1-Z1,-1,2,29711.45,29765.1375,29668.5,29668.5,171.8000000000029,169.32000000000292,target,1040,1045
2026-05-13,2,T2R,-1,7,29919.55,29940.95,29823.25,29940.95,-299.6000000000204,-311.7800000000204,stop,1100,1140
2026-05-14,3,T2R,-1,3,30341.475,30387.625,30156.875,30274.0,404.84999999999127,401.12999999999124,eod,1115,1555
2026-05-18,0,T1-Z1,-1,2,29753.5,29813.1875,29705.75,29705.75,191.0,188.52,target,1030,1035
2026-05-19,1,T1-Z1,-1,1,29331.5,29432.75,29250.5,29432.75,-202.5,-204.24,stop,1030,1115
2026-05-20,2,T1-Z1,1,2,29764.625,29696.975,29821.0,29821.0,225.5,223.02,target,1035,1045
2026-05-20,2,T2X,1,1,29775.9,29685.7,29888.65,29888.65,225.5,224.26,target,1040,1115
2026-05-26,1,T2X,1,1,30620.0,30517.0,30774.5,30517.0,-206.0,-207.74,stop,1105,1150
2026-05-27,2,T1-Z1,-1,1,30536.75,30612.6875,30476.0,30476.0,121.5,120.26,target,1035,1120
2026-05-28,3,T1-Z1,1,1,30706.5,30627.0,30772.75,30772.75,132.5,131.26,target,1030,1055
2026-05-29,4,T2X,-1,3,31009.4,31047.35,30886.0625,30886.0625,740.0250000000087,736.3050000000087,target,1110,1355
2026-06-01,0,T1-Z3a,1,3,30969.0,30925.5625,31054.75,31054.75,514.5,509.28,target,1025,1115
2026-06-03,2,T1-Z3a,1,1,31310.25,31161.0625,31395.25,31161.0625,-298.375,-300.615,stop,1025,1145
2026-06-04,3,T2R,-1,3,31015.675,31058.125,30845.875,31058.125,-254.70000000000437,-259.9200000000044,stop,1105,1220
2026-06-09,1,T1-Z1,-1,1,30045.1,30166.7875,29947.75,29947.75,194.6999999999971,193.45999999999708,target,1030,1040
2026-06-10,2,T1-Z1,1,1,29704.25,29566.25,29819.25,29819.25,230.0,228.76,target,1030,1035
2026-06-17,2,T1-Z1,1,2,30782.75,30715.25,30839.0,30715.25,-270.0,-273.48,stop,1030,1035
2026-06-18,3,T2R,-1,2,31012.55,31062.75,30811.75,31062.75,-200.8000000000029,-204.2800000000029,stop,1305,1545
2026-06-24,2,T1-Z3a,1,1,30000.25,29899.0625,30137.75,30137.75,275.0,273.26,target,1025,1045
2026-06-30,1,T1-Z1,1,1,30623.4375,30505.4625,30721.75,30721.75,196.625,195.385,target,1050,1130
2026-07-01,2,T1-Z1,1,2,30561.5,30489.5,30621.5,30489.5,-288.0,-291.48,stop,1030,1045
2026-07-02,3,T1-Z1,-1,1,30281.05,30376.7375,30204.5,30204.5,153.09999999999854,151.85999999999854,target,1030,1035
2026-07-06,0,T1-Z1,1,1,30269.9375,30190.0625,30336.5,30336.5,133.125,131.885,target,1110,1125
2026-07-08,2,T1-Z3a,-1,2,29586.5,29643.9375,29496.0,29496.0,362.0,358.52,target,1025,1045
2026-07-08,2,T2X,-1,7,29594.625,29614.35,29446.6875,29614.35,-276.1499999999796,-288.32999999997963,stop,1225,1230
2026-07-10,4,T2X,-1,4,30174.25,30193.95,30047.75,30193.95,-157.60000000000582,-164.56000000000583,stop,1040,1040
2026-07-14,1,T2R,-1,3,30183.575,30233.125,30047.3125,30059.7,743.25,739.53,reversed,1130,1155
2026-07-14,1,T2X,1,1,30059.7,29960.6,30208.35,30080.25,41.099999999998545,39.85999999999854,eod,1155,1555
2026-07-21,1,T2R,-1,4,29596.125,29632.875,29495.0625,29632.875,-294.0,-300.96,stop,1120,1250
2026-07-21,1,T2X,1,2,29504.25,29430.75,29614.5,29596.125,367.5,365.02,reversed,1100,1120
